,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
RAD51,0.8149038461538461,0.18509615384615385,1.4821946437721802,9.827469e-06,3.341828e-06,3.0450449e-09,0.25,1.4546901,1.4820194,1.3690096,-3.3893604,6.012645,0.05522629310344855,0.0,0.04135237068965529,0.0,0.09942952432403473,0.0,False,Cancer cells_vs_Lymphatic EC,Cancer cells,Lymphatic EC
FANCA,0.7760416666666666,0.22395833333333337,1.2427461584866408,1.6792681e-05,6.3057014e-06,3.0450449e-09,0.25,1.193759,1.1740599,1.2492887,-3.299612,6.2392807,0.09630926724138023,0.0,0.07327586206896632,0.0,0.11583185952115005,0.0,False,Cancer cells_vs_Lymphatic EC,Cancer cells,Lymphatic EC
FEN1,0.7461939102564102,0.25380608974358976,1.078414924493706,4.789882e-05,1.7055863e-05,3.0450449e-09,0.25,1.1437658,1.1360073,1.305872,-3.4334278,5.6666,0.23410560344827824,0.011764705882352941,0.13806573275862286,0.011764705882352941,0.3652160990714279,0.02206847848875059,False,Cancer cells_vs_Lymphatic EC,Cancer cells,Lymphatic EC
NEIL3,0.7441907051282052,0.2558092948717948,1.0678650754651162,4.413186e-06,8.557721e-07,3.0450449e-09,0.25,1.6293502,1.5873146,2.0336049,-5.5250225,7.876051,0.024784482758620635,0.0,0.020339439655172365,0.0,0.03403552789641303,0.0,False,Cancer cells_vs_Lymphatic EC,Cancer cells,Lymphatic EC
EME1,0.7189503205128205,0.2810496794871795,0.9392607893734155,2.612249e-06,9.807139e-07,3.0450449e-09,0.25,1.0434967,1.0088692,1.3197409,-3.5983067,5.6551743,0.019531249999999955,0.0,0.01831896551724134,0.0,0.026556511718484114,0.0,False,Cancer cells_vs_Lymphatic EC,Cancer cells,Lymphatic EC
FANCB,0.6734775641025641,0.3265224358974359,0.7239560043902911,4.6865157e-06,1.8654353e-06,3.0450449e-09,0.25,0.8694948,0.8707199,1.4970156,-5.965948,5.8805294,0.026670258620689585,0.0,0.024245689655172348,0.0,0.04650415340813736,0.0,False,Cancer cells_vs_Lymphatic EC,Cancer cells,Lymphatic EC
UBE2T,0.671073717948718,0.32892628205128205,0.7130453193062827,6.978205e-05,2.0782492e-05,3.0450449e-09,0.25,0.9907781,1.0063801,1.640758,-4.622178,5.313282,0.5647898706896498,0.0,0.2425915948275906,0.0,1.0653360512104424,0.0,False,Cancer cells_vs_Lymphatic EC,Cancer cells,Lymphatic EC
CDC25A,0.6318108974358975,0.36818910256410253,0.5399934532749159,1.9044141e-06,8.6846643e-07,3.0450449e-09,0.25,0.7553788,0.71311665,1.4427218,-4.5079937,5.9971733,0.0099676724137931,0.0,0.009563577586206894,0.0,0.011353842383066425,0.0,False,Cancer cells_vs_Lymphatic EC,Cancer cells,Lymphatic EC
EXO1,0.6282051282051282,0.3717948717948718,0.5245244571459685,4.142528e-06,1.525742e-06,3.0450449e-09,0.25,0.82340527,0.8019724,1.6730224,-4.8437996,6.634304,0.0413523706896552,0.0,0.030980603448275766,0.0,0.05899669361875385,0.0,False,Cancer cells_vs_Lymphatic EC,Cancer cells,Lymphatic EC
POLQ,0.6278044871794872,0.3721955128205128,0.522809492603109,4.161114e-06,1.6452086e-06,3.0450449e-09,0.25,0.80051434,0.8638487,1.8223485,-5.7986336,7.60623,0.015490301724137909,0.0,0.013469827586206877,0.0,0.020717238520384828,0.0,False,Cancer cells_vs_Lymphatic EC,Cancer cells,Lymphatic EC
CDC25C,0.6177884615384616,0.38221153846153844,0.48017187269823713,6.1673904e-06,2.3202806e-06,3.0450449e-09,0.25,0.8406224,0.7577152,1.6324745,-4.3433685,6.6872854,0.04108297413793112,0.0,0.02990301724137922,0.0,0.0703278003465587,0.0,False,Cancer cells_vs_Lymphatic EC,Cancer cells,Lymphatic EC
RAD54L,0.6165865384615384,0.38341346153846156,0.475084732522744,1.2281236e-05,4.6089085e-06,3.0450449e-09,0.25,0.7735036,0.71445465,1.6546035,-5.4423656,6.5944567,0.038658405172413854,0.011764705882352941,0.03165409482758612,0.011764705882352941,0.061298654163453134,0.02823981248764508,False,Cancer cells_vs_Lymphatic EC,Cancer cells,Lymphatic EC
XRCC2,0.6139823717948718,0.3860176282051282,0.46408317033750557,4.7383737e-06,2.1562034e-06,3.0450449e-09,0.25,0.7280035,0.7208214,1.6210347,-4.4402084,6.2757454,0.04175646551724146,0.011764705882352941,0.036503232758620704,0.011764705882352941,0.05534388995101548,0.009295019263927423,False,Cancer cells_vs_Lymphatic EC,Cancer cells,Lymphatic EC
BRCA1,0.6029647435897436,0.3970352564102564,0.41783363425102593,1.1714912e-05,1.2393821e-05,3.0450449e-09,0.25,-0.5823993,-0.6028757,1.4521443,-5.9918356,5.142455,0.09226831896551792,0.03529411764705882,0.0666756465517248,0.03529411764705882,0.11451302353592634,0.07027442128772367,False,Cancer cells_vs_Lymphatic EC,Cancer cells,Lymphatic EC
RRM2,0.5935496794871795,0.4064503205128205,0.37865919999228737,5.032355e-05,1.9009107e-05,3.0450449e-09,0.25,0.6976926,0.6772604,1.7706059,-5.7790937,6.0139933,0.2289870689655185,0.03529411764705882,0.08970905172413908,0.03529411764705882,0.44173274042784977,0.054668680228856036,False,Cancer cells_vs_Lymphatic EC,Cancer cells,Lymphatic EC
FANCD2,0.5815304487179487,0.4184695512820513,0.3290591957674671,4.840633e-06,2.6256523e-06,3.0450449e-09,0.25,0.65505314,0.5680294,1.4982942,-4.3077793,6.2918777,0.03838900862068971,0.0,0.033539870689655124,0.0,0.055742164925466214,0.0,False,Cancer cells_vs_Lymphatic EC,Cancer cells,Lymphatic EC
