,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,celltype
PLAT,0.5002,0.4998,0.0008000000266666918,0.00016561351,0.00017674892,1.271431e-07,0.5,0.6115373,0.5006485,2.2623408,-5.886716,12.4203205,0.13449965,0.48284295,1.0,1.0,1.3177803,4.2827473,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
CLCF1,0.5002,0.4998,0.0008000000266666918,0.0001808718,0.00014394485,1.271431e-07,0.5,0.6915233,0.50160694,1.7465177,-4.486541,9.300135,1.0076263,0.7516924,1.0,1.0,10.286269,7.0473623,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
CYP3A5,0.5036,0.49639999999999995,0.014400248551725392,3.878552e-05,5.088814e-05,1.271431e-07,0.5,0.5577792,0.5217309,2.3246133,-8.439009,9.556505,0.16500711,0.22764811,1.0,1.0,1.6576133,2.036874,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
TRBV7-2,0.5032,0.4968,0.01280017451095139,0.00066078646,0.00080318144,1.271431e-07,0.5,0.8027844,0.5109124,2.4160006,-5.201772,14.063169,1.0498064,1.169378,1.0,1.0,10.335879,10.925975,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
SDC1,0.5032,0.4968,0.01280017451095139,7.3870746e-05,0.00021723454,1.271431e-07,0.5,-0.65796673,-0.5140734,2.0744526,-6.8218727,5.7423916,0.24640186,0.83551157,1.0,1.0,2.4578009,7.8349853,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
ADAMDEC1,0.5032,0.4968,0.01280017451095139,4.0061614e-06,1.181795e-05,1.271431e-07,0.5,-0.105190136,-0.54744434,3.4385524,-10.290809,10.3252945,0.0733468,0.1471456,1.0,1.0,0.75415134,1.5559193,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
TRBV10-2,0.5032,0.4968,0.01280017451095139,2.5333875e-05,8.6490814e-05,1.271431e-07,0.5,-0.42162403,-0.5275688,3.134237,-8.5621605,12.564129,0.13577394,0.31799066,1.0,1.0,1.3388914,2.9388514,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
IGHG2,0.5032,0.4968,0.01280017451095139,0.00013721784,0.00024410918,1.271431e-07,0.5,0.3576326,0.52269506,3.6508186,-11.669625,9.951698,0.4129916,0.67132145,1.0,1.0,4.165921,7.776356,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
CES1,0.503,0.497,0.012000143763101878,3.491999e-05,7.467083e-05,1.271431e-07,0.5,0.61180043,0.51936483,2.8690743,-8.999727,11.316991,0.4571738,0.40461385,1.0,1.0,4.5504265,3.5624473,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
AC015912.3,0.5026,0.49739999999999995,0.010400093532182186,0.00022619519,0.00025604275,1.271431e-07,0.5,0.60804397,0.51405,2.014369,-5.7952385,10.327625,0.6164723,0.70870894,1.0,1.0,6.195834,6.908281,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
BTBD16,0.5026,0.49739999999999995,0.010400093532182186,3.2702296e-06,4.270614e-06,1.271431e-07,0.5,0.8903281,0.5489054,2.5259178,-8.24902,10.688963,0.013118332,0.021329457,1.0,1.0,0.13387464,0.19747886,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
NEFM,0.5026,0.49739999999999995,0.010400093532182186,2.0939297e-05,3.2248212e-05,1.271431e-07,0.5,0.65171164,0.5186982,2.777848,-6.4021053,13.021019,0.07580515,0.13530977,1.0,1.0,0.7381625,1.2413967,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
WDR54,0.5026,0.49739999999999995,0.010400093532182186,0.0005055899,0.00044914437,1.271431e-07,0.5,0.6855281,0.51092863,1.6369822,-3.788148,8.226351,1.5044672,1.1415634,1.0,1.0,15.475716,10.825872,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
S100A16,0.5026,0.49739999999999995,0.010400093532182186,0.00011259816,0.00033893817,1.271431e-07,0.5,-0.5182729,-0.51300764,2.4424503,-7.6748934,9.23153,0.36284435,1.0069488,1.0,1.0,3.6059687,8.746007,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
IGFL2-AS1,0.5024,0.49760000000000004,0.009600073537014753,9.660033e-07,6.635224e-06,1.271431e-07,0.5,0.93768984,0.84849644,4.392714,-13.515472,13.855457,0.0035447783,0.037016947,1.0,1.0,0.035328194,0.3031558,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
ALOX15,0.4966,0.5034000000000001,-0.01360020935513695,2.1507262e-06,2.888766e-06,1.271431e-07,0.5,0.5692278,0.5499563,2.322054,-8.28653,8.622654,0.012348825,0.037489165,1.0,1.0,0.120700605,0.3546946,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
MMP9,0.5022,0.4978,0.008800056613989637,0.00019592505,0.000499903,1.271431e-07,0.5,0.54785025,0.51841784,2.8854587,-8.238316,12.468211,0.9441455,0.82281,1.0,1.0,9.544952,8.245694,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
HIST1H1E,0.502,0.498,0.008000042507073868,0.0014459995,0.0012256446,1.271431e-07,0.5,0.71044207,0.5048461,1.5950413,-3.8062205,8.793074,2.7505052,1.878202,1.0,1.0,28.250492,18.096174,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
CTSZ,0.5018,0.4982,0.007200030960240245,0.0008543364,0.00080802414,1.271431e-07,0.5,0.4901634,0.5045109,1.8185467,-5.133612,7.333375,1.6775464,1.8519086,1.0,1.0,17.042284,18.473091,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
IGHV4-39,0.5014,0.49860000000000004,0.005600014522734509,0.000754565,0.0020260036,1.271431e-07,0.5,0.31055826,0.50895405,4.1361365,-12.482807,12.177893,1.3047787,1.4857666,1.0,1.0,13.144021,18.520973,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
HIST1H1A,0.5012,0.4988,0.004800009120031312,2.7050153e-05,2.7647555e-05,1.271431e-07,0.5,0.65120095,0.511415,2.125845,-5.848337,10.598652,0.21938898,0.13335083,1.0,1.0,2.2131624,1.2087126,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
SERPINH1,0.5012,0.4988,0.004800009120031312,0.00045631523,0.00095898745,1.271431e-07,0.5,-0.33709866,-0.5079417,2.1796837,-5.546069,10.703195,0.9277708,1.4185746,1.0,1.0,9.7165165,13.005741,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
SLC19A3,0.5012,0.4988,0.004800009120031312,2.0872214e-06,2.2014822e-06,1.271431e-07,0.5,0.7742953,0.62541103,3.124364,-9.270294,12.956205,0.007879873,0.01862476,1.0,1.0,0.0760886,0.17246509,False,CD16+ NK cells vs Rest,CD16+ NK cells,Rest,CD16+ NK cells
